cliente_id,nome,cpf,email
1,Charlene Cox,54261026477,tonyreid@example.net
2,Jessica Shaw,86133784253,christybenton@example.org
3,Steven Butler,15650403622,wardwilliam@example.org
4,Ann Raymond,12693025917,millerrobert@example.org
5,Jennifer Torres,59535691593,qmatthews@example.org
6,Christopher Aguilar,19989903554,lellis@example.com
7,Jordan Porter,78263495917,jodi03@example.org
8,Patricia Stephens,11871161661,josephboyd@example.com
9,Adam Smith,76312203789,moorenancy@example.org
10,Eddie House,47637961559,coffeyrobert@example.net
11,Gina Harris,49092924189,elizabeth28@example.org
12,Bradley Rodgers,72993689347,ambersanders@example.com
13,Regina Navarro,74067431309,patricia03@example.com
14,Jason Shah,49300518366,andrewharmon@example.net
15,Danielle Jackson,25621040321,zschwartz@example.net
16,Kyle Banks,73918194425,mjones@example.org
17,Tammy Ryan,68388537969,vsingh@example.com
18,Abigail Gay,85120745586,darlenemathews@example.org
19,Derek Cook,44636824965,salinastraci@example.net
20,Monica Cooper,74890648769,dana04@example.net
21,Sean Juarez,53837123476,colemegan@example.com
22,Theodore Roberts,81721143436,cabrerajulie@example.net
23,Donna Norton,74230955278,brenda60@example.org
24,Benjamin King,80841641451,ocummings@example.com
25,Robert Allen,73932536285,garzasandra@example.net
26,Robert Salazar,95554778908,charlene40@example.net
27,Megan Gomez,65541739078,john72@example.net
28,Sara Nelson,63024869939,kellerkevin@example.net
29,Michele Odonnell,46533357960,canderson@example.org
30,Cynthia Petersen,88966826748,lflores@example.net
31,Carrie Romero,81484863382,kellyleah@example.org
32,Jamie Murphy,86844432434,francorussell@example.net
33,Clifford Hall,24896830050,szuniga@example.org
34,Jason Adams,95588355109,hernandezgabriel@example.com
35,William Woods,29341489351,cbooker@example.org
36,Elizabeth Taylor,54278260395,nicholasharrison@example.org
37,Sharon Smith,18019552653,malexander@example.org
38,Dorothy Moss,30883279768,johnsonthomas@example.com
39,Brian Grant,66207846343,fjohnson@example.org
40,Brandon Johnson,20287918177,cparks@example.com
41,Jacob Cole,88033974414,lucasgarrett@example.com
42,Gregory Lawrence,27898760753,zfields@example.com
43,Trevor Ortiz,82378090246,greg61@example.net
44,Leah Jones,87848720159,jennifermartin@example.net
45,Timothy Ross,70499668587,rbailey@example.com
46,Dana Williams,90949854644,rhale@example.net
47,Cole Hernandez,18084959136,ochen@example.net
48,Elizabeth Becker,54513772594,christine70@example.org
49,Stephanie Nicholson,27694424679,wrichardson@example.org
50,John Williams,63402946118,pricecatherine@example.com
51,Michael Harris,48534963821,harrisonsteven@example.net
52,Brandi Logan,73240976628,ssmith@example.net
53,Bryan Reese,65131116318,lunadonald@example.com
54,Valerie Johnson,99114259070,wilsonstephanie@example.com
55,Kristopher Green,38675072205,jorge86@example.com
56,Gloria Newman,66171788216,deborahbrown@example.com
57,Heather Moyer,11296288988,allenwilliam@example.com
58,Alec Adams,66189348220,xkeller@example.net
59,Michelle Schroeder,96028630715,sean16@example.net
60,Mary Rodriguez,17637004534,yvonnefisher@example.com
61,Katherine Quinn,94240240268,corey27@example.com
62,Krystal Malone,26693483508,kelly97@example.com
63,Dustin James,46491982099,laura52@example.org
64,Christine Rodriguez,88160615374,mark68@example.org
65,Seth Johnson,26435737431,kvaughan@example.org
66,Derek Ramos,93105802331,rachelgomez@example.org
67,Jennifer Payne,91776477643,bridgesdanielle@example.com
68,Sean Hardy,94921275246,cmills@example.com
69,Kelly Mcgee,38215461838,umosley@example.net
70,Crystal Garcia,50944718327,lambanthony@example.net
71,Dana Wright,16090278141,tlowery@example.com
72,Elizabeth Stein,50263435472,sandrade@example.net
73,Nathan Harris,62466223905,juan32@example.com
74,Noah Williams,90445128614,andersonmatthew@example.com
75,Michele Grant,13554156604,wilsonbryan@example.net
76,Lisa Reynolds,90231484137,amy36@example.com
